user_id,if_local,gender,checkins_count,photos_count,friends_count
1719059,1,none,3660,2760,863
1954160,1,male,763,28,64
4423801,1,male,2995,14,206
8427547,1,male,12648,338,279
1988380,1,female,19981,80,178
46569025,1,male,811,67,52
45632007,1,female,4268,231,19
57584210,1,male,1495,37,46
39519055,1,male,2016,47,74
39203642,1,male,3323,259,72
85946000,1,male,1588,245,26
51243442,1,female,4292,609,4
153685261,1,male,35,1,1
45051912,1,male,2159,54,15
1518334,1,male,7281,231,126
38501697,1,female,164,46,69
53705032,1,female,2649,20,13
86047479,1,female,602,26,15
66290977,1,male,1744,510,13
8912084,1,male,1208,10,33
349424,1,female,6801,166,105
11296299,1,female,245,74,5
25929519,1,male,2285,26,291
16078588,1,male,1722,180,21
25339456,1,male,1238,359,16
58804981,1,male,428,164,14
1421219,1,male,2318,218,30
1510615,1,male,5108,1066,51
31449668,1,male,564,279,165
37872072,1,male,17644,23878,92
5455240,1,male,4174,745,23
5527636,1,female,1996,77,69
885254,1,male,11695,1753,537
33457394,1,female,21184,976,125
8343969,1,male,7069,126,351
18811448,1,male,9576,21,18
11703078,1,female,10627,103,71
4905412,1,male,35151,5623,412
918349,1,male,11449,1956,294
11745666,1,female,12205,4998,117
4990262,1,male,39807,3294,112
90016691,1,male,8924,6599,27
2423598,1,male,18962,665,360
4732126,1,male,33907,224,98
8808545,1,female,13286,769,222
2149725,1,female,3412,793,22
6774399,1,male,3567,2285,71
19191824,1,male,3855,172,29
298463,1,male,3334,230,109
5084155,1,male,3669,237,268
77067330,1,none,3896,86,7
2809699,1,male,3807,203,90
2058404,1,male,3329,907,54
2424087,1,male,4005,5,57
7855463,1,male,3666,195,30
4799872,1,male,3713,3416,13
15531127,1,female,3393,101,31
54981239,1,male,2892,35,122
41402022,1,male,2917,49,79
2335100,1,female,2843,220,44
2751704,1,male,3153,79,28
1164196,1,male,3029,903,175
34958979,1,female,2184,809,45
253745,1,male,2455,17,152
67280315,1,female,2473,164,24
4978629,1,male,2325,581,188
689774,1,male,2524,93,89
15082667,1,male,2291,192,32
8287003,1,male,2387,68,260
16451265,1,female,2478,135,14
51295338,1,male,2088,40,4
6511614,1,female,2069,280,44
6134499,1,male,1733,26,102
15496288,1,male,2081,871,34
74655258,1,none,1636,57,44
201895,1,male,1593,42,46
7978787,1,male,1653,427,46
69593481,1,male,1354,0,62
142423,1,male,1447,0,7
105673736,1,male,1062,461,394
931048,1,male,1064,897,77
78070528,1,female,1134,505,8
43692704,1,male,1127,2,63
19492171,1,none,1020,305,43
4750403,1,male,895,2,15
39333870,1,female,835,90,9
12847646,1,female,722,245,11
13718595,1,male,750,149,56
793717,1,female,761,543,60
7609076,1,male,782,67,8
36289847,1,female,718,39,5
44026313,1,male,623,537,10
660976,1,male,620,25,5
73387740,1,female,585,17,16
6375745,1,male,606,30,29
6666092,1,female,597,203,76
118254,1,male,533,186,40
22671507,1,male,533,5,4
79638060,1,male,512,44,29
31600537,1,male,384,19,42
129118264,1,male,370,105,558
48459386,1,male,226,17,166
5229598,1,male,252,152,32
44239741,1,male,237,2,433
68049550,1,male,211,105,14
11838721,1,male,216,116,6
123549199,1,male,199,3,267
131147966,1,male,90,10,147
63322716,1,female,109,27,22
69353894,1,male,65,3,5
128805221,1,male,65,0,2
2156719,1,male,10968,32,51
2462642,1,male,7528,22,180
5018907,1,female,11522,1504,103
59199536,1,male,4470,13,143
8457714,1,male,4392,1,29
2954089,1,female,6420,1298,110
966054,1,female,4697,746,133
6893711,1,male,4663,159,56
12478378,1,female,3914,44,18
68141034,1,male,3726,101,44
67341254,1,none,3359,14,17
91203,1,female,3530,92,106
480932,1,male,3818,35,24
27947833,1,female,3724,180,143
53590659,1,female,3896,43,139
57811221,1,female,376,143,47
6929828,1,none,448,23,0
3154456,1,female,18563,10225,220
27343403,1,male,2342,110,7
58227410,1,male,264,5,58
5362279,1,male,2412,299,24
69149290,1,male,605,36,23
39010623,1,male,3216,3091,27
73987753,1,male,976,29,18
7910147,1,male,1989,26,196
65360455,1,male,466,409,24
7367183,1,male,1100,259,20
250752,1,male,3312,271,471
779449,1,male,4251,190,63
5315199,1,male,1428,133,77
31391287,1,none,1460,225,14
16112610,1,male,1449,196,31
6263088,1,male,1432,42,35
11367555,1,female,23876,9672,85
5160026,1,male,8707,453,30
77905180,1,male,10099,6845,14
594602,1,male,16424,691,209
2635356,1,male,17355,1127,17
3160732,1,male,11276,94,102
14199395,1,male,11400,4173,711
133520,1,female,26340,582,159
