user_id,if_local,gender,checkins_count,photos_count,friends_count
47833166,0,female,1463,80,15
46893677,0,male,4590,30,136
39652517,0,male,2707,314,28
12305020,0,male,4378,2170,105
7732116,0,male,3495,143,135
59801733,0,male,1841,121,20
776570,0,male,4597,35,162
936643,0,female,384,129,30
1179666,0,male,19419,2140,107
77853817,0,male,188,8,16
112939982,0,male,537,5,1
19904302,0,male,4058,49,54
1452454,0,female,2750,39,166
53298833,0,male,4260,150,25
767623,0,male,7098,84,122
12442100,0,female,1033,175,27
144425944,0,female,1582,520,42
1519558,0,male,2511,1930,20
21172651,0,male,2166,97,45
1320639,0,male,2079,27,67
1420740,0,male,4443,168,57
77208293,0,female,6852,299,128
100786024,0,female,413,68,17
9798236,0,male,8645,9413,113
7899883,0,female,9790,163,202
11903204,0,female,2801,18,20
1740181,0,male,4591,17,133
51740685,0,female,427,334,33
5800906,0,female,242,43,43
58890439,0,none,1622,225,81
19263108,0,male,5224,14,61
12203707,0,male,8035,46,69
3437158,0,female,4309,18,338
20739323,0,male,124,7,49
15345928,0,male,1756,149,389
10499667,0,male,2511,11,84
2207776,0,female,7127,312,33
11720188,0,female,615,41,77
1326981,0,male,2435,12,131
50151966,0,female,4157,85,91
36833742,0,female,928,258,328
41868216,0,male,1474,203,57
4648808,0,male,1460,260,28
551192,0,male,1698,371,32
27558094,0,male,11244,1803,90
4097383,0,male,12079,1258,31
11405113,0,male,2905,208,19
2884870,0,male,1705,347,151
109985461,0,male,631,54,36
12381401,0,male,4046,630,10
575485,0,male,7593,391,49
153219439,0,male,2357,344,4
57977433,0,female,612,206,178
39529674,0,female,424,49,22
1392670,0,female,12368,203,90
3009258,0,male,19050,182,39
60261344,0,male,1667,43,9
17825693,0,male,990,105,41
2222438,0,male,330,97,40
31115870,0,female,1900,68,51
26082938,0,female,2000,82,50
34352657,0,male,2673,28,471
25332259,0,male,8036,153,60
35131536,0,male,1429,43,8
4422794,0,female,825,25,175
11011152,0,male,4649,38,69
91966783,0,female,165,0,64
5303767,0,none,888,40,326
24975926,0,none,1368,33,52
35445557,0,female,1149,112,38
79145151,0,male,3409,28,27
72511818,0,male,1990,80,47
3274179,0,female,699,23,20
37753814,0,female,1474,45,27
100913985,0,male,1801,159,47
