user_id,if_local,gender,checkins_count,photos_count,friends_count
7888379,1,male,1683,25,89
139361183,1,male,313,3,2
30911792,1,none,448,52,92
68325822,1,male,1066,46,120
63382043,1,female,1772,159,4
33239212,1,male,470,0,278
53298833,1,male,4260,150,25
767623,1,male,7098,84,122
2815399,1,female,794,221,110
6289088,1,none,1448,160,138
130774955,1,female,48,32,2
42216260,1,male,217,2,64
35781421,1,female,1733,5,46
76774652,1,male,1350,44,37
11428639,1,female,356,61,14
17958141,1,female,2687,28,42
85962112,1,male,14,3,1
94146557,1,male,1017,331,71
8039195,1,female,1132,8,132
95257444,1,female,3,2,1
3383044,1,male,2249,342,36
2827885,1,female,2337,37,129
35308561,1,male,657,136,92
67917595,1,male,1813,87,475
2322552,1,male,1367,52,128
8332144,1,male,724,41,87
84844542,1,female,319,302,9
624512,1,female,1575,298,153
15356012,1,male,1612,501,156
31115870,1,female,1900,68,51
76896049,1,male,69,19,3
32053667,1,female,395,53,119
11529680,1,male,1574,34,82
149762666,1,female,2170,18,15
47134598,1,male,301,69,145
26566311,1,female,542,87,40
76745916,1,female,4103,11,57
12615749,1,male,103,10,40
50576420,1,male,375,10,160
34406970,1,male,77,0,333
12000782,1,male,10886,228,40
76611030,1,female,1147,50,25
4037392,1,male,60,28,18
2344439,1,male,2029,299,48
576939,1,male,1722,14,43
66203301,1,female,965,143,100
2429625,1,male,4074,138,75
30573976,1,male,210,51,3
50602028,1,male,1638,176,235
62167634,1,male,2820,31,14
5867272,1,female,2316,7,34
215549,1,female,3888,109,37
39851795,1,male,368,11,78
46716284,1,female,236,1,157
61075107,1,female,1220,51,81
8154163,1,female,7640,37,80
68100053,1,male,1600,21,30
6229518,1,male,5290,11,377
45637726,1,male,276,2,205
149242281,1,female,6,5,3
811065,1,female,6769,130,636
11186321,1,female,2099,0,27
27896105,1,female,4660,47,125
8250432,1,male,10850,20,41
720482,1,female,1551,112,74
86476450,1,male,1645,71,50
23688584,1,male,401,82,49
5781826,1,male,940,17,57
25826444,1,male,196,35,275
73155378,1,male,2029,63,18
6302969,1,male,3107,340,248
1954629,1,male,2554,20,67
279187,1,female,1116,36,69
50985869,1,male,1279,491,107
6843105,1,female,520,6,29
32734757,1,male,926,302,165
33639104,1,male,1348,91,78
51867169,1,female,356,53,5
51459489,1,male,2674,49,245
45377653,1,female,1588,85,157
15845181,1,none,2181,11,46
62503332,1,none,234,8,2
641243,1,male,2592,78,66
131853,1,male,2210,43,31
42514951,1,male,3422,126,183
19616845,1,female,7865,308,249
18663476,1,male,312,128,60
17902150,1,male,776,15,259
5132450,1,male,2111,94,86
24682379,1,male,2496,47,103
17245,1,male,1650,32,63
7700775,1,female,2193,181,54
9608694,1,male,150,0,24
1746400,1,male,6386,219,108
29455250,1,male,853,19,993
15017857,1,male,2501,52,240
1961094,1,male,5280,12,34
44873916,1,female,608,165,201
10282752,1,male,1513,95,97
20338874,1,female,3066,4,67
7499671,1,male,4468,19,153
518291,1,male,12326,53,473
17633736,1,male,2147,104,158
9042809,1,male,2564,24,51
23531305,1,male,1071,35,38
2989871,1,male,9569,530,21
13177941,1,male,19950,0,190
12389299,1,male,2334,51,111
81177945,1,male,891,31,33
28277035,1,female,1847,10,30
50949288,1,female,638,1,48
10008414,1,male,205,1,81
28088842,1,male,2164,88,39
50340316,1,female,426,2,78
8584493,1,female,506,24,262
48664927,1,male,1221,6,525
2624410,1,male,692,15,212
9516955,1,female,32767,46,211
14257796,1,male,1258,11,82
1692806,1,female,1866,128,83
42779489,1,male,2250,107,831
83100,1,male,2290,34,206
18947995,1,male,840,2,44
28750359,1,female,415,118,274
27804039,1,male,2013,234,83
17905743,1,male,515,55,27
10420846,1,female,1045,86,81
30885237,1,male,262,25,109
23396917,1,male,205,1,29
44899862,1,male,1767,12,417
34202434,1,male,1247,41,223
29856837,1,male,3904,223,82
30298547,1,male,1304,138,98
23434079,1,female,284,7,12
218167,1,female,1485,159,112
31936853,1,female,6254,1172,230
11676817,1,male,729,172,56
52161641,1,male,438,127,22
44155606,1,male,518,3,134
70896754,1,male,2943,28,79
62048246,1,female,161,2,10
61833174,1,female,330,195,16
15625858,1,male,564,0,4
21697773,1,male,453,15,95
1837732,1,female,6269,14,130
