user_id,if_local,gender,checkins_count,photos_count,friends_count
29252888,0,female,285,41,27
47833166,0,female,1463,80,15
8750995,0,none,2561,197,379
7092111,0,female,3084,46,45
89743735,0,female,759,52,53
3146055,0,male,2870,659,769
9254539,0,male,9534,659,44
82715661,0,male,308,21,53
2786852,0,female,8123,104,108
33683923,0,male,851,28,26
38344472,0,female,6153,272,115
11153288,0,male,1709,43,37
84559592,0,female,1973,19,26
14277340,0,male,327,0,372
2707203,0,female,635,63,74
1370431,0,male,3342,60,78
38680496,0,female,4727,62,37
58973757,0,female,715,105,27
11867990,0,female,742,133,30
65205156,0,female,1763,34,35
8685128,0,female,4661,183,92
2956680,0,male,7769,327,191
9843323,0,male,620,37,52
2658454,0,female,3275,19,78
53799920,0,male,437,92,80
21205630,0,female,2287,190,72
57457227,0,male,42,0,71
63473682,0,female,1210,12,6
936643,0,female,384,129,30
1179666,0,male,19419,2140,107
101552255,0,male,261,2,83
23675142,0,female,1469,6,11
325374,0,male,3288,10,174
28743770,0,male,3166,230,44
10899202,0,female,2472,391,121
57339920,0,none,1634,142,112
10446389,0,male,3699,169,2
48260301,0,female,1229,35,14
9986326,0,female,1617,85,202
7063499,0,female,3592,98,111
25513487,0,male,2163,289,57
13355445,0,male,5182,49,79
1328964,0,male,1221,239,89
8492983,0,male,6337,70,560
16667291,0,male,416,15,7
4296165,0,male,1826,28,24
13433084,0,male,2622,86,125
34984801,0,male,3542,1049,36
59725390,0,male,1163,338,13
10517658,0,male,1358,108,56
21172651,0,male,2166,97,45
13771470,0,female,3184,32,28
25118162,0,male,1138,627,82
402374,0,male,9570,133,69
26251525,0,male,169,144,4
49909282,0,female,2688,130,180
1817876,0,female,4763,0,79
66413334,0,male,576,32,17
21156122,0,female,642,21,141
16028161,0,male,3125,565,113
9196154,0,female,2261,759,43
1719059,0,none,3660,2760,863
47800197,0,male,4890,858,29
56325918,0,female,2072,158,46
15477470,0,female,4272,114,192
9798236,0,male,8645,9413,113
73275599,0,female,7461,647,3
9445989,0,male,3535,103,25
11147975,0,male,5167,1554,6
2640901,0,male,2766,128,9
75244607,0,male,2758,2099,13
60734746,0,male,699,31,7
8427547,0,male,12648,338,279
5800906,0,female,242,43,43
68722471,0,male,1511,342,195
21549079,0,female,4920,62,42
834465,0,male,2245,11,29
19263108,0,male,5224,14,61
12203707,0,male,8035,46,69
1587933,0,male,2532,574,200
3554459,0,female,9198,1547,512
4401528,0,male,3760,45,35
