user_id,if_local,gender,checkins_count,photos_count,friends_count
104461098,1,female,750,1,5
936643,1,female,384,129,30
325374,1,male,3288,10,174
9445989,1,male,3535,103,25
1141101,1,male,1639,30,57
131855091,1,female,298,43,2
48763852,1,female,830,1,188
40909967,1,female,1180,108,122
43484,1,male,5510,620,180
219978,1,male,1255,6,47
92489750,1,male,230,42,21
36935924,1,male,2274,185,118
59607037,1,male,320,3,18
140269202,1,male,1108,64,108
29814478,1,none,1440,14,29
91541,1,male,1955,229,123
55027098,1,male,5457,579,17
69061566,1,male,339,51,26
467372,1,female,2465,38,96
30716359,1,male,294,3,46
53325695,1,male,2483,0,86
37596615,1,female,4325,84,69
9904887,1,male,2087,21,68
714388,1,male,4542,47,77
1538996,1,male,9674,316,91
12145537,1,female,2800,579,53
804059,1,male,8807,185,235
9703410,1,male,592,1,3
16223050,1,male,576,41,21
8132301,1,female,1447,24,73
60879724,1,male,781,1,12
11141957,1,male,2275,54,698
67695597,1,male,431,3,28
30712541,1,female,1636,74,66
2489592,1,male,460,83,124
1948199,1,male,1634,10,10
91863853,1,male,1046,5,7
27024986,1,male,479,19,85
20885445,1,female,3666,713,101
2735968,1,female,6490,402,231
20335260,1,male,229,3,51
72977,1,male,651,5,82
12102369,1,male,924,7,41
16145721,1,male,6925,3140,42
1808511,1,male,845,65,65
30787,1,male,3794,108,56
38879112,1,male,996,428,9
50160218,1,female,2517,7,306
52379773,1,female,2717,26,6
57798389,1,male,9249,269,54
1265876,1,female,2524,4,58
12174327,1,male,1292,38,71
784581,1,female,23538,22,127
56594,1,male,11923,823,295
476034,1,male,7823,252,250
1056941,1,male,4622,15,81
56382295,1,male,4318,8,106
9415960,1,female,3325,113,47
38629442,1,male,3251,15,81
11585914,1,male,2164,102,32
174630,1,male,2255,13,42
74218055,1,female,2101,36,170
20167350,1,female,2116,74,122
1130534,1,male,1258,23,24
27199689,1,male,1223,84,52
37364371,1,male,1264,10,398
131961122,1,male,1139,231,963
73098123,1,male,1041,2,312
80671692,1,male,824,58,96
53062743,1,male,787,2,87
30429462,1,male,783,12,356
1843317,1,male,4225,106,101
15523423,1,female,999,2,45
866303,1,male,953,516,109
454305,1,male,16839,313,288
6225059,1,male,11325,525,50
621994,1,male,1499,51,66
61532924,1,male,662,101,17
22462109,1,male,64958,8,18
12020721,1,female,10841,834,159
100677,1,male,8453,8159,922
2507062,1,male,1671,6,4
3875971,1,male,1542,131,65
26229013,1,male,674,362,317
112051866,1,male,507,86,341
85864345,1,male,374,6,50
134772202,1,male,305,10,35
104554567,1,male,264,11,147
133002245,1,male,290,13,44
1861116,1,male,17824,1,155
321838,1,male,5593,118,138
3891612,1,male,812,229,45
78451,1,female,719,45,44
85072442,1,male,550,10,37
9963585,1,male,5367,10,291
15522806,1,male,4441,84,91
521164,1,male,1953,83,214
47564190,1,female,1337,34,42
29789171,1,male,836,432,15
22483968,1,male,14368,25,38
108117022,1,male,291,0,129
5231200,1,female,4192,1,87
727760,1,female,3443,25,24
30845837,1,female,2993,0,32
134583,1,male,2890,9,17
43438,1,male,3456,56,56
35606996,1,male,3163,570,120
393040,1,female,24174,56,242
46581956,1,male,31519,411,27
1573444,1,male,6804,56,83
20838297,1,male,6146,0,70
526950,1,male,5058,67,97
