user_id,if_local,gender,checkins_count,photos_count,friends_count
39652517,0,male,2707,314,28
36188381,0,female,684,248,36
47737303,0,male,1738,869,133
8685128,0,female,4661,183,92
9843323,0,male,620,37,52
1179666,0,male,19419,2140,107
11757855,0,female,7738,76,117
19085406,0,male,3657,70,20
2815399,0,female,794,221,110
6289088,0,none,1448,160,138
254169,0,male,20472,80,159
601954,0,male,19624,225,149
402374,0,male,9570,133,69
21156122,0,female,642,21,141
47800197,0,male,4890,858,29
9798236,0,male,8645,9413,113
92724,0,male,7358,82,104
21899786,0,female,2871,627,122
35834138,0,male,101,12,38
19263108,0,male,5224,14,61
1988380,0,female,19981,80,178
4401528,0,male,3760,45,35
599743,0,male,2072,47,111
17958141,0,female,2687,28,42
49899066,0,female,725,43,57
1326981,0,male,2435,12,131
1793471,0,male,729,335,41
484751,0,female,2888,37,32
213508,0,male,3304,28,233
71470390,0,male,155,2,2
46569025,0,male,811,67,52
6212610,0,male,6457,8,9
2884870,0,male,1705,347,151
1440197,0,female,1011,201,96
21200046,0,male,11696,205,72
575485,0,male,7593,391,49
2277047,0,male,2459,191,101
17825693,0,male,990,105,41
12360661,0,male,11810,529,132
4700790,0,none,2665,44,35
20124926,0,male,351,37,12
1558645,0,female,9625,449,923
10809222,0,male,674,3,24
57339890,0,male,790,7,22
10152686,0,male,12135,8,43
3912224,0,male,1376,11,68
2604111,0,female,8083,248,105
4698979,0,male,895,98,134
62749306,0,male,297,1,139
5303767,0,none,888,40,326
33263264,0,male,3299,101,39
6420982,0,male,547,15,97
76745916,0,female,4103,11,57
100913985,0,male,1801,159,47
1297146,0,male,1891,66,68
146182706,0,male,3768,7,32
10062899,0,female,1194,14,44
57584210,0,male,1495,37,46
48887827,0,female,1181,83,10
5480922,0,female,380,9,39
7427318,0,female,1636,8,80
43403021,0,male,7723,709,119
83524776,0,male,467,41,34
47729257,0,none,947,35,7
32720873,0,female,2843,68,62
37314224,0,male,18507,1512,47
44767677,0,male,1643,18,9
4028431,0,male,4629,16,80
86110299,0,female,613,8,34
90850349,0,female,382,61,23
50915512,0,female,519,6,11
2344439,0,male,2029,299,48
3921,0,male,1875,503,42
75018,0,male,4453,44,37
57143209,0,male,2680,191,26
59667047,0,female,857,7,9
36007644,0,male,3496,1273,111
334472,0,male,13272,23,46
73387752,0,none,341,231,1
81025660,0,male,1908,36,130
226463,0,male,6117,791,245
5480507,0,female,4765,81,138
1123273,0,male,183,237,57
6826071,0,male,4015,77,15
15026749,0,male,9311,260,364
29797904,0,male,7000,221,67
82580809,0,none,396,19,31
3226416,0,male,3561,66,77
25764660,0,male,2003,20,174
5867272,0,female,2316,7,34
10127270,0,male,493,15,75
11514101,0,male,4458,400,16
3560633,0,male,1657,162,82
79521802,0,female,364,19,67
44855434,0,male,1518,127,61
10945118,0,male,1381,897,23
51719975,0,male,6726,7,25
73911,0,female,1097,32,139
87619700,0,male,802,6,130
11931678,0,male,5278,308,60
77008567,0,male,3434,630,89
31782462,0,male,1270,92,55
4728779,0,female,5956,918,146
12445273,0,male,5618,156,226
961508,0,female,4422,24,76
1094105,0,male,10229,279,821
6229518,0,male,5290,11,377
8323241,0,male,2125,14,78
3311045,0,male,1137,14,147
64294135,0,female,1921,38,18
4960763,0,male,21532,7864,497
20338247,0,female,1518,0,132
1948960,0,male,1407,9,88
47392139,0,male,982,270,51
32609805,0,female,593,88,51
5563627,0,male,1205,6,85
20987838,0,male,1673,28,116
12794578,0,female,5494,136,107
25836224,0,female,5324,683,14
21258445,0,male,440,29,8
4418125,0,female,9567,766,130
629269,0,male,4575,359,126
19776346,0,male,2399,5,525
75059815,0,female,1554,189,66
42385697,0,male,4181,1010,177
49675366,0,male,3266,231,25
11943557,0,male,671,9,59
17362991,0,female,6112,1812,139
8043948,0,male,2366,9,151
56020858,0,female,313,20,35
127606136,0,female,260,124,2
47882221,0,female,1756,329,106
8703436,0,male,490,5,98
12257764,0,male,1983,125,107
50012463,0,male,926,10,7
80957772,0,male,501,1,13
23642917,0,male,508,28,57
86476450,0,male,1645,71,50
5273722,0,female,2851,33,69
13281491,0,male,5679,1570,71
52914105,0,female,1040,213,23
577174,0,male,3171,291,224
41266415,0,female,1858,309,153
5781826,0,male,940,17,57
57765974,0,female,481,77,30
1941507,0,male,5665,98,23
2538003,0,male,1042,53,96
4823080,0,male,19078,609,323
16315364,0,male,3066,158,412
24364910,0,male,1888,44,118
17641478,0,male,4139,142,93
16895143,0,female,3379,20,20
57341866,0,female,3461,3,25
3357621,0,female,1823,43,35
6760339,0,none,2945,343,70
51678216,0,male,1168,481,23
17539990,0,female,2631,4,48
79077120,0,female,455,12,80
23603317,0,female,265,1,31
48928063,0,male,1709,6,17
83136032,0,male,811,7,144
31639397,0,male,1900,53,43
28965241,0,male,1437,360,30
279187,0,female,1116,36,69
4237487,0,male,1285,10,28
38461323,0,female,2130,163,67
66584959,0,female,3078,0,87
56082714,0,male,512,4,12
6843105,0,female,520,6,29
11915931,0,female,917,15,125
76520305,0,male,1328,415,45
58746912,0,female,2061,254,36
4791487,0,male,4730,4,59
11046124,0,male,2177,38,310
51867169,0,female,356,53,5
3829562,0,female,9676,16,56
72768910,0,female,1732,3,104
16113460,0,female,5710,25,106
1946708,0,female,6998,232,34
16246199,0,male,645,43,104
747648,0,male,1152,13,52
17442400,0,female,417,110,195
1710142,0,female,1896,2,75
18831701,0,female,3270,72,183
1609282,0,male,4918,383,47
641243,0,male,2592,78,66
5736492,0,female,4943,326,152
36424820,0,female,2446,526,310
10509280,0,male,476,9,65
77085887,0,male,483,308,534
15590720,0,male,948,27,103
7624831,0,female,1637,2,10
3196777,0,female,9425,157,389
12669902,0,female,1357,13,36
1990341,0,male,2586,225,510
78883112,0,female,1348,157,76
159672,0,male,7197,9,396
17449102,0,male,1559,188,143
5444098,0,female,2229,266,691
694142,0,female,999,118,96
48602411,0,female,544,2,45
584,0,male,3817,25,142
24682379,0,male,2496,47,103
13893649,0,male,2636,22,46
6483089,0,female,1177,3,44
52535848,0,male,3242,305,311
1602352,0,female,5272,120,34
40082850,0,male,1068,20,41
249441,0,male,3953,106,41
7479321,0,male,2059,97,52
4570707,0,male,5836,24,152
50455046,0,female,3350,59,66
30922332,0,female,2122,169,106
1117529,0,male,1242,9,109
28665480,0,male,5049,109,13
1180730,0,male,1581,8,94
1961094,0,male,5280,12,34
45246702,0,male,1616,67,163
4248318,0,male,627,48,15
1518334,0,male,7281,231,126
47977000,0,male,1788,49,38
23746119,0,male,1574,6,173
25691290,0,male,2632,177,38
1427737,0,male,2189,11,20
53234521,0,female,1250,5,57
8228113,0,male,2602,94,381
1571485,0,male,1667,2,9
43097646,0,female,5161,38,49
43245871,0,male,2602,197,81
5403877,0,male,14014,1041,130
56152288,0,male,604,11,11
105987,0,female,3482,243,109
1239402,0,female,1206,79,81
1222283,0,male,2364,29,89
80662,0,male,20881,2534,893
64078295,0,male,3468,9,62
11798996,0,female,3403,64,40
23531305,0,male,1071,35,38
15144820,0,male,1139,156,43
53631963,0,male,2063,53,24
54080520,0,female,3157,8,109
81177945,0,male,891,31,33
35682918,0,male,288,1,34
1546,0,male,4132,49,184
21612143,0,male,578,382,96
1675501,0,none,2640,756,20
79828,0,male,764,32,46
34571342,0,male,1291,6,51
3273319,0,female,2138,26,24
28088842,0,male,2164,88,39
715957,0,male,12248,2736,227
27112223,0,male,2292,329,73
1319712,0,male,5982,118,214
75899171,0,male,3744,15,50
26757412,0,male,417,48,68
18673885,0,male,398,27,186
41185141,0,female,2561,263,288
128264,0,male,1808,173,641
52630562,0,female,282,163,104
41549877,0,male,7548,377,313
41762002,0,female,327,129,55
428360,0,male,4836,77,115
105425,0,male,1106,45,9
39648812,0,female,805,4,78
14059024,0,none,426,25,70
3531594,0,male,1125,3,213
5016948,0,male,1462,83,124
201770,0,male,2954,14,47
13331883,0,female,1211,147,98
245783,0,male,4063,56,95
53672201,0,male,10929,2747,301
18949533,0,male,4232,310,77
4979794,0,female,331,3,22
12377870,0,male,1587,219,413
42077492,0,female,406,312,11
56578018,0,female,861,209,21
8092959,0,male,2534,9,181
2870076,0,male,6987,63,72
36623141,0,male,1123,58,52
19967875,0,male,323,76,115
34284245,0,female,650,61,36
7904033,0,male,1995,8,138
70915717,0,male,2442,84,377
56269291,0,female,333,19,72
16845408,0,male,1795,67,24
2208319,0,male,3031,108,204
551839,0,male,9289,3,81
22565981,0,male,1025,2,250
8334487,0,female,2189,22,81
3261532,0,male,6275,63,41
1397888,0,male,5193,9,49
39413225,0,male,7361,618,185
46655818,0,female,1884,558,542
587313,0,male,14779,584,39
416376,0,male,1520,54,75
28265134,0,male,879,93,9
28270691,0,male,1449,10,77
64765662,0,male,521,4,51
11628245,0,female,1180,52,35
17270927,0,female,3482,14,66
8611512,0,male,5669,298,78
9482443,0,male,1115,147,101
22024310,0,male,2667,34,420
181182,0,male,760,38,542
940393,0,female,2975,27,312
6445683,0,male,2366,319,52
25121134,0,female,369,14,25
16736288,0,male,2411,70,185
62889363,0,male,342,0,13
50101999,0,female,867,17,22
628288,0,female,2075,489,195
13136852,0,male,2774,92,43
