Type,Number,Entry,Exit,Infant vocalizations,Parent vocalizations,Vocalizations,Referent,sound,Others,Duration
T,1,0,0,ZBZJ03-no condition shift,0.04,"Video: ""L:\Studies\Mandarin walking\Videos\Videos\20141204-ZBZJ-P03\20141204-zbzj03-freeplay-c1.MTS""<BR>",,,,
E,1,0,0,,,,Dad,,,0.04
E,2,1.4,1.4,,Parent vocalizes,,,,,0.04
E,3,4,4,,Parent vocalizes,(name),,,,0.04
E,4,11.8,11.8,,Parent vocalizes,你看这是什么呀，嗯？,,,,0.04
E,5,20.2,20.2,,Parent vocalizes,乐乐你看这是不是小狗啊这个？,,,,0.04
E,6,23.44,23.44,,Parent vocalizes,汪汪,,,,0.04
E,7,25.8,25.8,,Parent vocalizes,嗯?,,,,0.04
E,8,28.04,28.04,,Parent vocalizes,嗯？,,,,0.04
E,9,28.6,28.6,,Parent vocalizes,看看这是不是汪汪？,,,,0.04
E,10,31.6,31.6,,Parent vocalizes,汪！汪！,,,,0.04
E,11,34.4,34.4,,Parent vocalizes,水果？,,,,0.04
E,12,37.4,37.4,,Parent vocalizes,这是什么？,,,,0.04
E,13,41.2,41.2,,Parent vocalizes,___别给撕了,,,,0.04
E,14,43.84,43.84,,Parent vocalizes,别给撕了别给撕了啊,,,,0.04
E,15,45.96,45.96,,Parent vocalizes,这是香蕉,,,,0.04
E,16,48.2,48.2,,,,,,other talk,0.04
E,17,53.72,53.72,,Parent vocalizes,啊这叫什么呀？,,,,0.04
E,18,59.68,59.68,,Parent vocalizes,像不像个小苹果呀,,,,0.04
E,19,62.36,62.36,,Parent vocalizes,嗯？,,,,0.04
E,20,71.4,71.4,,Parent vocalizes,哎我们看看玩具啊,,,,0.04
E,21,79.6,79.6,,Parent vocalizes,这个好吧,,,,0.04
E,22,81.2,81.2,,Parent vocalizes,这是个什么呀你听到了没有？,,,,0.04
E,23,83.32,83.32,,Parent vocalizes,这刷牙,,,,0.04
E,24,85.24,85.24,,Parent vocalizes,乐乐不刷牙啊是不是啊,,,,0.04
E,25,88.44,88.44,,Parent vocalizes,嗯？,,,,0.04
E,26,90.08,90.08,,Parent vocalizes,你别给抓了呀,,,,0.04
E,27,93.8,93.8,,Parent vocalizes,哦你看一钦就可以了,,,,0.04
E,28,102.6,102.6,,Parent vocalizes,要往下钦,,,,0.04
E,29,149.2,149.2,Infant vocalizes,,嗯,,,,0.04
E,30,150.2,150.2,,Parent vocalizes,乐乐,,,,0.04
E,31,155.4,155.4,,Parent vocalizes,_,,,,0.04
E,32,157.8,157.8,,Parent vocalizes,你看这是什么呀？,,,,0.04
E,33,160.32,160.32,,Parent vocalizes,是个大象，大象的长鼻子,,,,0.04
E,34,164,164,,Parent vocalizes,很近的吗？,,,,0.04
E,35,171.68,171.68,,Parent vocalizes,你又好奇啦？,,,,0.04
E,36,174.36,174.36,,Parent vocalizes,啊？,,,,0.04
E,37,176.6,176.6,,Parent vocalizes,啊？宝宝乐？,,,,0.04
E,38,180,180,,Parent vocalizes,你又好奇了是不是啊？,,,,0.04
E,39,180.88,180.88,Infant vocalizes,,嗯,,,,0.04
E,40,182.52,182.52,,Parent vocalizes,你要过去看看吗？,,,,0.04
E,41,183.48,183.48,Infant vocalizes,,嗯,,,,0.04
E,42,185.52,185.52,,Parent vocalizes,是不是啊？,,,,0.04
E,43,197.08,197.08,,Parent vocalizes,乐乐,,,,0.04
E,44,198.8,198.8,,Parent vocalizes,_，这是什么玩具呀？,,,,0.04
E,45,203.16,203.16,,Parent vocalizes,是不是火车呀？,,,,0.04
E,46,206.72,206.72,,Parent vocalizes,乐乐，乐乐，好奇什么呀？,,,,0.04
E,47,211.88,211.88,,Parent vocalizes,嗯？,,,,0.04
E,48,215.4,215.4,,Parent vocalizes,啊，来你看,,,,0.04
E,49,221.32,221.32,,Parent vocalizes,电池都漏了,,,,0.04
E,50,228.72,228.72,Infant vocalizes,,_,,,,0.04
E,51,236.96,236.96,,Parent vocalizes,乐乐,,,,0.04
E,52,241,241,,Parent vocalizes,你在好奇什么呀？,,,,0.04
E,53,246.96,246.96,,Parent vocalizes,嗯，你好奇？你好奇？,,,,0.04
E,54,269.2,269.2,,Parent vocalizes,咦，乐乐，这是一个牛牛啊,,,,0.04
E,55,271.96,271.96,,Parent vocalizes,你听,,,,0.04
E,56,275.12,275.12,,Parent vocalizes,哞~,,,,0.04
E,57,280.24,280.24,,Parent vocalizes,再来，再来,,,,0.04
E,58,284.44,284.44,,Parent vocalizes,乐乐，再钦一下,,,,0.04
E,59,290.2,290.2,,Parent vocalizes,你也钦一下来,,,,0.04
E,60,292.16,292.16,,Parent vocalizes,哦~哦~看看,,,,0.04
E,61,294.72,294.72,,Parent vocalizes,小牛又叫了，你钦一下你看牛牛就叫了,,,,0.04
E,62,299.08,299.08,,Parent vocalizes,来吗,,,,0.04
E,63,301.52,301.52,,Parent vocalizes,快来快来，小牛牛叫喽,,,,0.04
E,64,306.16,306.16,,Parent vocalizes,嗯，快来，再钦一下来。,,,,0.04
E,65,310,310,,Parent vocalizes,_呀太厉害了,,,,0.04
